M,N,perFactorN,K,c,rho,mode,nonLoaderFrac,retention,R,rec85,rec90,rec95,rec90_lo,rec90_hi,meanEstK
20,24,8,3,0.6,0.4,free,0,oracle,500,0.992,0.934,0.098,0.909,0.953,3.00
20,24,8,3,0.6,0.4,free,0,pa,500,0.406,0.378,0.034,0.337,0.421,2.31
20,24,8,3,0.8,0,free,0,oracle,500,1.000,1.000,0.990,0.992,1.000,3.00
20,24,8,3,0.8,0,free,0,pa,500,0.916,0.916,0.902,0.888,0.937,2.92
20,24,8,3,0.8,0.4,free,0,oracle,500,1.000,1.000,0.982,0.992,1.000,3.00
20,24,8,3,0.8,0.4,free,0,pa,500,0.530,0.530,0.524,0.486,0.573,2.49
20,30,8,3,0.4,0,forced,0.2,oracle,500,0.336,0.044,0.000,0.029,0.066,3.00
20,30,8,3,0.4,0,forced,0.2,pa,500,0.172,0.028,0.000,0.017,0.046,2.75
20,30,8,3,0.4,0.4,forced,0.2,oracle,500,0.184,0.020,0.000,0.011,0.036,3.00
20,30,8,3,0.4,0.4,forced,0.2,pa,500,0.084,0.012,0.000,0.006,0.026,2.29
20,30,8,3,0.6,0,forced,0.2,oracle,500,0.982,0.934,0.168,0.909,0.953,3.00
20,30,8,3,0.6,0,forced,0.2,pa,500,0.768,0.732,0.138,0.692,0.769,2.79
20,30,8,3,0.6,0.4,forced,0.2,oracle,500,0.884,0.806,0.090,0.769,0.838,3.00
20,30,8,3,0.6,0.4,forced,0.2,pa,500,0.390,0.368,0.068,0.327,0.411,2.30
20,30,8,3,0.8,0,forced,0.2,oracle,500,1.000,0.998,0.994,0.989,1.000,3.00
20,30,8,3,0.8,0,forced,0.2,pa,500,0.906,0.906,0.904,0.877,0.929,2.91
20,30,8,3,0.8,0.4,forced,0.2,oracle,500,0.962,0.962,0.942,0.941,0.976,3.00
20,30,8,3,0.8,0.4,forced,0.2,pa,500,0.514,0.514,0.514,0.470,0.558,2.47
20,30,8,3,0.4,0,free,0.2,oracle,500,0.290,0.040,0.000,0.026,0.061,3.00
20,30,8,3,0.4,0,free,0.2,pa,500,0.180,0.016,0.000,0.008,0.031,3.72
20,30,8,3,0.4,0.4,free,0.2,oracle,500,0.156,0.006,0.000,0.002,0.017,3.00
20,30,8,3,0.4,0.4,free,0.2,pa,500,0.080,0.006,0.000,0.002,0.017,3.14
20,30,8,3,0.6,0,free,0.2,oracle,500,0.980,0.884,0.090,0.853,0.909,3.00
20,30,8,3,0.6,0,free,0.2,pa,500,0.810,0.728,0.076,0.687,0.765,3.00
20,30,8,3,0.6,0.4,free,0.2,oracle,500,0.844,0.714,0.056,0.673,0.752,3.00
20,30,8,3,0.6,0.4,free,0.2,pa,500,0.424,0.376,0.030,0.335,0.419,2.67
20,30,8,3,0.8,0,free,0.2,oracle,500,0.998,0.998,0.984,0.989,1.000,3.00
20,30,8,3,0.8,0,free,0.2,pa,500,0.904,0.904,0.896,0.875,0.927,2.90
20,30,8,3,0.8,0.4,free,0.2,oracle,500,0.954,0.944,0.890,0.920,0.961,3.00
20,30,8,3,0.8,0.4,free,0.2,pa,500,0.462,0.462,0.462,0.419,0.506,2.42
20,36,12,3,0.4,0,forced,0,oracle,500,0.906,0.458,0.004,0.415,0.502,3.00
20,36,12,3,0.4,0,forced,0,pa,500,0.686,0.378,0.000,0.337,0.421,3.30
20,36,12,3,0.4,0.4,forced,0,oracle,500,0.772,0.370,0.004,0.329,0.413,3.00
20,36,12,3,0.4,0.4,forced,0,pa,500,0.356,0.168,0.002,0.138,0.203,2.74
20,36,12,3,0.6,0,forced,0,oracle,500,1.000,0.998,0.748,0.989,1.000,3.00
20,36,12,3,0.6,0,forced,0,pa,500,0.928,0.928,0.724,0.902,0.948,2.94
20,36,12,3,0.6,0.4,forced,0,oracle,500,1.000,0.996,0.710,0.986,0.999,3.00
